    [ "SPELL", "A"/"P", "RESIST", "CASTING TIME", "DR", "DURATION", "RANGE", "WEIGHT", "AREA OF EFFECT" ],

    [ "AIR" ],
    [ "Animal Sense", "A"/"P", "Y", "5 rounds", "9", "5 min.", "100 m", "", "1 animal*" ],
    [ "Banish", -, "Y", "1 round", "13", "Instant.", "10 m", "", "1 demon*" ],
    [ "Breathe in Water", "P", "Y", "1 round", "11", "10 min.", "Touch", "", "1 C*" ],
    [ "Control Elemental", "A", "Y", "1 round", "9", "2 min.", "10 m", "", "1 elemental*" ],
    [ "Control Wind", "A", "N", "1 min.", "11", "5 min.", "10 m", "", "2 m r" ],
    [ "Enhance Coordination", "P", "Y", "10 min.", "9", "10 min.", "Touch", "100 kg", "1 C*" ],
    [ "Extinguish", -, "N", "1 round", "9", "Instant.", "5 m", "", "1 m r" ],
    [ "Fly", "P", "Y", "1 round", "15", "5 rounds", "Touch", "50 kg", "1 C*" ],
    [ "Fog", "P", "N", "1 min.", "9", "5 min.", "10 m", "", "10 m r" ],
    [ "Freeze Air", "P", "N", "1 round", "9", "2 rounds", "5 m", "", "1 m r" ],
    [ "Invisibility", "P", "Y", "1 round", "13", "5 rounds", "Touch", "100 kg", "1 O* or 1 C*" ],
    [ "Levitation", "A", "Y", "1 round", "11", "2 rounds", "5 m", "50 kg", "1 C*" ],
    [ "Lightningbolt", -, "N", "1 round", "11", "Instant.", "10 m", "", "1 target*" ],
    [ "Make Familiar", -, "Y", "12 hours", "11", "Perm.", "Touch", "50 kg", "1 animal*" ],
    [ "Prepared Teleport", -, "Y", "1 round", "17", "Instant.", "T"/"100 km", "50 kg", "1 C* or 1 O*" ],
    [ "Push", -, "N", "1 round", "7", "Instant.", "5 m", "", "1 O* or 1 C*" ],
    [ "Seek", "P", "N", "1 round", "11", "1 round", "Touch", "1 kg", "1 missile*" ],
    [ "Silence", "P", "Y", "1 round", "11", "5 rounds", "Touch", "100 kg", "1 O* or 1 C*" ],
    [ "Summon Elemental", -, "N", "5 min.", "11", "2 min.", "1 m", "", "1 elemental*" ],
    [ "Telekinesis", "A", "Y", "1 round", "13", "1 round", "5 m", "5 kg", "1 O* or 1 C*" ],
